full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Leandro Barreiro Martins,20,Bundesliga,Midfielder,Mainz 05,938,546,392,18,8,10,0,0,0,2,0,15,8,7,4,0.19,0.19,0,0,0,0,52,469
Leon Bailey Butler,23,Bundesliga,Forward,Bayer Leverkusen,1106,524,582,22,11,11,5,2,3,3,0,17,7,10,2,0.65,0.24,0.41,0.34,0.46,221,50,369
Leon Dajaku,19,Bundesliga,Forward,Bayern München,10,0,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Leon Goretzka,25,Bundesliga,Midfielder,Bayern München,1513,779,734,24,11,13,6,4,2,5,0,11,7,4,2,0.65,0.3,0.36,0.46,0.25,252,63,303
Leonardo Balerdi Rossa,21,Bundesliga,Defender,Borussia Dortmund,128,109,19,7,4,3,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,18,0
Leonardo Bittencourt,26,Bundesliga,Midfielder,Werder Bremen,1901,888,1013,29,15,14,4,0,4,2,0,46,23,23,7,0.28,0.09,0.19,0,0.36,475,66,951
Leopold Zingerle,26,Bundesliga,Goalkeeper,Paderborn,2520,1260,1260,28,14,14,0,0,0,0,0,54,33,21,1,0,0,0,0,0,0,90,0
Levin Oztunali,24,Bundesliga,Midfielder,Mainz 05,1778,933,845,27,14,13,4,2,2,3,0,39,18,21,1,0.35,0.15,0.2,0.19,0.21,445,66,593
Lewis Baker,25,Bundesliga,Midfielder,Fortuna Düsseldorf,548,261,287,8,4,4,0,0,0,0,0,13,6,7,1,0,0,0,0,0,0,69,0
Lino Kasten,19,Bundesliga,Goalkeeper,Wolfsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lino Tempelmann,21,Bundesliga,Midfielder,Freiburg,34,34,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0
Louis Jordan Beyer,20,Bundesliga,Defender,Borussia M'gladbach,107,44,63,3,1,2,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,36,0
Louis Schaub,25,Bundesliga,Midfielder,Köln,626,240,386,9,4,5,1,1,0,1,0,10,2,8,0,0.29,0.14,0.14,0.38,0,626,70,626
Luc Ihorst,20,Bundesliga,Forward,Werder Bremen,10,10,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0
Luca Horn,21,Bundesliga,Defender,Wolfsburg,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Luca Jannis Kilian,21,Bundesliga,Defender,Paderborn,1261,736,525,15,9,6,0,0,0,0,0,28,15,13,1,0,0,0,0,0,0,84,0
Luca Netz,17,Bundesliga,Defender,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Plogmann,20,Bundesliga,Goalkeeper,Werder Bremen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Unbehaun,19,Bundesliga,Goalkeeper,Borussia Dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Alario,28,Bundesliga,Forward,Bayer Leverkusen,1165,702,463,24,12,12,7,6,1,1,1,19,12,7,6,0.62,0.08,0.54,0.77,0.19,166,49,1165
Lucas Hernández Pi,24,Bundesliga,Defender,Bayern München,915,513,402,19,9,10,0,0,0,1,0,9,5,4,3,0.1,0.1,0,0,0,0,48,915
Lucas Höler,26,Bundesliga,Forward,Freiburg,2495,1255,1240,34,17,17,8,3,5,2,0,36,11,25,4,0.36,0.07,0.29,0.22,0.36,312,73,1248
