full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Lorenzo Insigne,29,Serie A,Forward,Napoli,2823,1418,1405,37,18,19,8,3,5,6,5,42,18,24,1,0.45,0.19,0.26,0.19,0.32,353,76,471
Lorenzo Pellegrini,24,Serie A,Midfielder,Roma,2109,1063,1046,27,14,13,1,0,1,9,0,29,16,13,8,0.43,0.38,0.04,0,0.09,2109,78,234
Lorenzo Pirola,18,Serie A,Defender,Inter Milan,11,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Lorenzo Tonelli,30,Serie A,Defender,Sampdoria,705,416,289,9,5,4,0,0,0,0,0,15,10,5,4,0,0,0,0,0,0,78,0
Lorenzo Venuti,25,Serie A,Defender,Fiorentina,856,441,415,16,6,10,0,0,0,1,0,10,5,5,4,0.11,0.11,0,0,0,0,54,856
Ľubomír Tupta,22,Serie A,Forward,Hellas Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Ceppitelli,31,Serie A,Defender,Cagliari,1248,810,438,16,9,7,2,0,2,0,0,17,9,8,5,0.14,0,0.14,0,0.41,624,78,0
Luca Cigarini,34,Serie A,Midfielder,Cagliari,1604,832,772,22,12,10,0,0,0,4,0,29,13,16,8,0.22,0.22,0,0,0,0,73,401
Luca Coccolo,22,Serie A,Defender,Juventus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Falbo,20,Serie A,Defender,Lazio,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Luca Gagliano,20,Serie A,Forward,Cagliari,52,46,6,2,1,1,1,1,0,1,0,0,0,0,0,3.46,1.73,1.73,1.96,0,52,26,52
Luca Marrone,30,Serie A,Midfielder,Hellas Verona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Mazzitelli,24,Serie A,Midfielder,Sassuolo,11,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Luca Pellegrini,21,Serie A,Defender,Cagliari,1913,1014,899,24,12,12,0,0,0,5,0,35,18,17,10,0.24,0.24,0,0,0,0,80,383
Luca Ranieri,27,Serie A,Defender,Fiorentina,232,142,90,3,2,1,0,0,0,0,0,4,2,2,2,0,0,0,0,0,0,77,0
Luca Rigoni,35,Serie A,Midfielder,Parma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Rossettini,35,Serie A,Defender,Lecce,2261,1047,1214,26,12,14,0,0,0,2,0,54,22,32,5,0.08,0.08,0,0,0,0,87,1131
Luca Siligardi,32,Serie A,Forward,Parma,331,124,207,12,6,6,0,0,0,1,0,6,2,4,0,0.27,0.27,0,0,0,0,28,331
Luca Tremolada,28,Serie A,Midfielder,Brescia,14,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
Luca Zanimacchia,22,Serie A,Midfielder,Juventus,119,90,29,2,1,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,60,0
Lucas Biglia,34,Serie A,Midfielder,AC Milan,683,381,302,14,6,8,0,0,0,1,0,11,6,5,4,0.13,0.13,0,0,0,0,49,683
Lucas Castro,31,Serie A,Midfielder,SPAL,1032,591,441,22,13,9,2,1,1,0,0,15,7,8,2,0.17,0,0.17,0.15,0.2,516,47,0
Lucas Felippe Nascimento,20,Serie A,Midfielder,Hellas Verona,26,3,23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Lucas Gemello,20,Serie A,Goalkeeper,Torino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Leiva,33,Serie A,Midfielder,Lazio,1817,1060,757,25,14,11,0,0,0,1,0,17,8,9,10,0.05,0.05,0,0,0,0,73,1817
Lucas Tolentino Coelho de Lima,23,Serie A,Midfielder,AC Milan,1101,565,536,24,12,12,0,0,0,1,0,13,4,9,7,0.08,0.08,0,0,0,0,46,1101
Lucien Agoume,18,Serie A,Midfielder,Inter Milan,65,59,6,3,2,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,22,0
Luigi Sepe,29,Serie A,Goalkeeper,Parma,3060,1530,1530,34,17,17,0,0,0,0,0,52,22,30,1,0,0,0,0,0,0,90,0
Luigi Vitale,33,Serie A,Defender,Hellas Verona,39,39,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
Luis Alberto,28,Serie A,Midfielder,Lazio,3123,1649,1474,36,19,17,6,5,1,15,1,34,16,18,5,0.61,0.43,0.17,0.27,0.06,521,87,208
Luis Muriel,29,Serie A,Forward,Atalanta,1244,653,591,34,18,16,18,7,11,1,6,13,10,3,1,1.37,0.07,1.3,0.96,1.68,69,37,1244
