full_name,age,league,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
Enock Kwateng,23,Ligue 1,Defender,Bordeaux,987,536,451,14,7,7,0,0,0,1,0,11,5,6,4,0.09,0.09,0,0,0,0,71,987
Enzo Loiodice,19,Ligue 1,Midfielder,Dijon,190,91,99,5,3,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,38,0
Eui-Jo Hwang,28,Ligue 1,Forward,Bordeaux,1638,811,827,24,12,12,6,2,4,2,0,23,8,15,2,0.44,0.11,0.33,0.22,0.44,273,68,819
Evann Guessand,19,Ligue 1,Forward,Nice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewan Hatfout,0,Ligue 1,Goalkeeper,Dijon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabien Centonze,24,Ligue 1,Defender,Metz,2520,1260,1260,28,14,14,0,0,0,3,0,33,15,18,3,0.11,0.11,0,0,0,0,90,840
Fábio Pereira da Silva,30,Ligue 1,Defender,Nantes,835,475,360,10,6,4,0,0,0,0,0,6,1,5,4,0,0,0,0,0,0,84,0
Facundo Píriz,30,Ligue 1,Midfielder,Montpellier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faitout Maouassa,22,Ligue 1,Midfielder,Rennes,1813,907,906,23,11,12,3,1,2,1,0,13,9,4,3,0.2,0.05,0.15,0.1,0.2,604,79,1813
Farid Boulaya,27,Ligue 1,Midfielder,Metz,824,394,430,19,9,10,2,0,2,1,0,11,6,5,2,0.33,0.11,0.22,0,0.42,412,43,824
Farid El Melali,23,Ligue 1,Forward,Angers SCO,306,269,37,8,6,2,3,2,1,0,0,1,1,0,0,0.88,0,0.88,0.67,2.43,102,38,0
Fernando Marçal,31,Ligue 1,Defender,Olympique Lyonnais,832,484,348,11,6,5,0,0,0,1,0,6,2,4,3,0.11,0.11,0,0,0,0,76,832
Ferris N'Goma,27,Ligue 1,Forward,Brest,21,17,4,4,3,1,1,1,0,0,1,1,1,0,1,4.29,0,4.29,5.29,0,21,5,0
Flavien Tait,27,Ligue 1,Midfielder,Rennes,881,400,481,17,8,9,2,1,1,2,0,8,3,5,1,0.41,0.2,0.2,0.23,0.19,441,52,441
Florent Balmont,40,Ligue 1,Midfielder,Dijon,396,154,242,11,7,4,0,0,0,0,0,3,0,3,1,0,0,0,0,0,0,36,0
Florent Mollet,28,Ligue 1,Midfielder,Montpellier,1687,850,837,25,12,13,6,5,1,3,0,25,7,18,5,0.48,0.16,0.32,0.53,0.11,281,67,562
Florentin Bloch,20,Ligue 1,Goalkeeper,Toulouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florian Chabrolle,22,Ligue 1,Midfielder,Olympique Marseille,17,17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
Florian Miguel,24,Ligue 1,Defender,Nîmes,2060,1067,993,24,12,12,1,1,0,0,0,34,11,23,8,0.04,0,0.04,0.08,0,2060,86,0
Florian Thauvin,27,Ligue 1,Midfielder,Olympique Marseille,20,20,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0
