full_name,age,league,position,current_club,minutes_played_overall,minutes_played_home,minutes_played_away,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,penalty_goals,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,min_per_match,min_per_assist_overall
José Javier Hualde Zaratiegui,22,La Liga,Midfielder,CA Osasuna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Luis Gayà,25,La Liga,Defender,Valencia CF,1989,1046,943,24,12,12,0,0,0,1,0,29,5,24,5,0.05,0.05,0,0,0,0,83,1989
José Luis Morales,33,La Liga,Midfielder,Levante UD,2528,1393,1135,38,19,19,4,4,0,2,0,38,15,23,3,0.21,0.07,0.14,0.26,0,632,67,1264
José Luis Rodriguez,22,La Liga,Midfielder,Deportivo Alavés,21,0,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
José Luis Sanmartín Mato,30,La Liga,Forward,Deportivo Alavés,2786,1599,1187,36,19,17,11,5,6,2,1,45,18,27,6,0.42,0.06,0.36,0.28,0.45,253,77,1393
José Luis Trápaga Fuentevilla,22,La Liga,Defender,Real Betis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Manuel Arnáiz Díaz,25,La Liga,Midfielder,CA Osasuna,1119,568,551,26,15,11,2,1,1,1,0,13,8,5,4,0.24,0.08,0.16,0.16,0.16,560,43,1119
José Manuel Fontán Mondragón,0,La Liga,Defender,Celta de Vigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Mena Rodríguez,22,La Liga,Midfielder,Sevilla FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
José Ramiro Funes Mori,29,La Liga,Defender,Villarreal,451,270,181,7,3,4,0,0,0,0,0,6,4,2,1,0,0,0,0,0,0,64,0
José Sánchez Martínez,20,La Liga,Defender,Granada CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseba Zaldúa,28,La Liga,Defender,Real Sociedad,2551,1328,1223,30,16,14,0,0,0,2,0,33,13,20,8,0.07,0.07,0,0,0,0,85,1276
Josep Señé Escudero,28,La Liga,Midfielder,RCD Mallorca,146,31,115,6,2,4,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,24,0
Joseph Aidoo,25,La Liga,Defender,Celta de Vigo,2499,1055,1444,32,14,18,0,0,0,1,0,31,11,20,4,0.04,0.04,0,0,0,0,78,2499
Juan Brandariz Movilla,21,La Liga,Defender,FC Barcelona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Camilo Hernández Suárez,21,La Liga,Forward,RCD Mallorca,1492,715,777,22,10,12,5,4,1,1,0,23,8,15,5,0.36,0.06,0.3,0.5,0.12,298,68,1492
Juan Hernández García,25,La Liga,Forward,Celta de Vigo,84,66,18,5,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0
Juan Luis Sánchez Velasco,17,La Liga,Midfielder,Sevilla FC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Manuel Pérez Ruiz,24,La Liga,Goalkeeper,CA Osasuna,180,90,90,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,90,0
Juan Sastre Vanrell,23,La Liga,Defender,RCD Mallorca,1362,706,656,19,10,9,0,0,0,2,0,28,9,19,4,0.13,0.13,0,0,0,0,72,681
